"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1991-04-09	"B"	0.03865	0.03865	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	0.03600	0.03600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	0.05135	0.05135	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	0.03430	0.03430	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	0.04120	0.04120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	0.03400	0.03400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	0.03545	0.03545	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	0.02510	0.02510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	0.02900	0.02900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	0.02510	0.02510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	0.02730	0.02730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	0.02770	0.02770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	0.10180	0.10180	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	0.06140	0.06140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	0.08930	0.08930	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	0.05650	0.05650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	0.10865	0.10865	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	0.04790	0.04790	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	0.08600	0.08600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	0.12970	0.12970	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	0.05725	0.05725	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	0.04740	0.04740	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	0.05850	0.05850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	0.06400	0.06400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"B"	0.04465	0.04465	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-02	"S"	0.05330	0.05330	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"B"	0.04930	0.04930	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-10-15	"S"	0.03320	0.03320	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"B"	0.03565	0.03565	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-11-05	"S"	0.03020	0.03020	" "	""	NA	""	""	""	""	""
